,Institute,Academic Program Name,Quota,Seat Type,Closing Rank,Year,Round,Average Package,Highest,Type of Exam,Fee Structure
1,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,12425,2022,4,1716000,,JEE Advanced,228315
2,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,20790,2022,4,1716000,,JEE Advanced,228315
3,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,1905,2022,4,1716000,,JEE Advanced,228315
4,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,3159,2022,4,1716000,,JEE Advanced,228315
5,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,4516,2022,4,1716000,,JEE Advanced,228315
6,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,7876,2022,4,1716000,,JEE Advanced,228315
7,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,2327,2022,4,1716000,,JEE Advanced,228315
8,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,2464,2022,4,1716000,,JEE Advanced,228315
9,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,737,2022,4,1716000,,JEE Advanced,228315
10,IIT Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,990,2022,4,1716000,,JEE Advanced,228315
11,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,13170,2022,4,1716000,,JEE Advanced,228315
12,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,18771,2022,4,1716000,,JEE Advanced,228315
13,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,1982,2022,4,1716000,,JEE Advanced,228315
14,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,3402,2022,4,1716000,,JEE Advanced,228315
